Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2013-01-12,Packers,49ers,2,2:39,1,10,SFO 20,20-21,Aaron Rodgers pass complete deep middle to James Jones for 20 yards touchdown,20,4.240,7.000,2.76
2013-01-12,Packers,49ers,4,1:07,2,3,SFO 3,30-45,Aaron Rodgers pass complete short right to Greg Jennings for 3 yards touchdown,3,5.530,7.000,1.47
2013-01-05,Packers,Vikings,3,9:32,1,9,MIN 9,23-3,Aaron Rodgers pass complete short middle to John Kuhn for 9 yards touchdown,9,5.140,7.000,1.86
2012-12-30,Packers,Vikings,2,4:07,3,3,MIN 3,6-13,Aaron Rodgers pass complete short middle to Greg Jennings for 3 yards touchdown,3,4.720,7.000,2.28
2012-12-30,Packers,Vikings,3,12:02,2,5,MIN 5,16-20,Aaron Rodgers pass complete short left to Greg Jennings for 5 yards touchdown,5,5.150,7.000,1.85
2012-12-30,Packers,Vikings,3,2:14,1,8,MIN 8,23-27,Aaron Rodgers pass complete short left to James Jones for 8 yards touchdown. Penalty on GNB: Unsportsmanlike Conduct 15 yards,8,5.370,7.000,1.63
2012-12-30,Packers,Vikings,4,2:57,1,2,MIN 2,33-34,Aaron Rodgers pass complete short right to Jordy Nelson for 2 yards touchdown,2,6.740,7.000,.26
2012-12-23,Packers,Titans,1,4:34,2,2,OTI 20,13-0,Aaron Rodgers pass complete deep right to Randall Cobb for 20 yards touchdown,20,4.250,7.000,2.75
2012-12-23,Packers,Titans,3,5:49,1,1,OTI 1,33-0,Aaron Rodgers pass complete short right to Greg Jennings for 1 yard touchdown,1,6.970,7.000,.03
2012-12-23,Packers,Titans,4,14:16,1,10,OTI 12,40-0,Aaron Rodgers pass complete short left to James Jones for 12 yards touchdown,12,4.780,7.000,2.22
2012-12-16,Packers,Bears,2,4:25,3,4,CHI 29,6-7,Aaron Rodgers pass complete deep right to James Jones for 29 yards touchdown,29,2.810,7.000,4.19
2012-12-16,Packers,Bears,2,0:34,2,8,CHI 8,13-7,Aaron Rodgers pass complete short middle to James Jones for 8 yards touchdown,8,4.570,7.000,2.43
